,date,closing_price
219,2023-04-28 04:00:00,169.68
220,2023-05-01 04:00:00,169.59
221,2023-05-02 04:00:00,168.54
222,2023-05-03 04:00:00,167.45
223,2023-05-04 04:00:00,165.79
224,2023-05-05 04:00:00,173.57
225,2023-05-08 04:00:00,173.5
226,2023-05-09 04:00:00,171.77
227,2023-05-10 04:00:00,173.555
228,2023-05-11 04:00:00,173.75
229,2023-05-12 04:00:00,172.57
230,2023-05-15 04:00:00,172.07
231,2023-05-16 04:00:00,172.07
232,2023-05-17 04:00:00,172.69
233,2023-05-18 04:00:00,175.05
234,2023-05-19 04:00:00,175.16
235,2023-05-22 04:00:00,174.2
236,2023-05-23 04:00:00,171.56
237,2023-05-24 04:00:00,171.84
238,2023-05-25 04:00:00,172.99
239,2023-05-26 04:00:00,175.43
240,2023-05-30 04:00:00,177.3
241,2023-05-31 04:00:00,177.25
242,2023-06-01 04:00:00,180.09
243,2023-06-02 04:00:00,180.95
244,2023-06-05 04:00:00,179.58
245,2023-06-06 04:00:00,179.21
246,2023-06-07 04:00:00,177.82
247,2023-06-08 04:00:00,180.57
248,2023-06-09 04:00:00,180.96
249,2023-06-12 04:00:00,183.79
250,2023-06-13 04:00:00,183.31
251,2023-06-14 04:00:00,183.95
252,2023-06-15 04:00:00,186.01
253,2023-06-16 04:00:00,184.92
254,2023-06-20 04:00:00,185.01
255,2023-06-21 04:00:00,183.96
256,2023-06-22 04:00:00,187.0
257,2023-06-23 04:00:00,186.68
258,2023-06-26 04:00:00,185.27
259,2023-06-27 04:00:00,188.06
260,2023-06-28 04:00:00,189.25
261,2023-06-29 04:00:00,189.59
262,2023-06-30 04:00:00,193.97
263,2023-07-03 04:00:00,192.46
264,2023-07-05 04:00:00,191.33
265,2023-07-06 04:00:00,191.81
266,2023-07-07 04:00:00,190.68
267,2023-07-10 04:00:00,188.61
268,2023-07-11 04:00:00,188.08
269,2023-07-12 04:00:00,189.77
270,2023-07-13 04:00:00,190.54
271,2023-07-14 04:00:00,190.69
272,2023-07-17 04:00:00,193.99
273,2023-07-18 04:00:00,193.73
274,2023-07-19 04:00:00,195.1
275,2023-07-20 04:00:00,193.13
276,2023-07-21 04:00:00,191.94
277,2023-07-24 04:00:00,192.75
278,2023-07-25 04:00:00,193.62
279,2023-07-26 04:00:00,194.5
280,2023-07-27 04:00:00,193.22
281,2023-07-28 04:00:00,195.83
282,2023-07-31 04:00:00,196.45
283,2023-08-01 04:00:00,195.605
284,2023-08-02 04:00:00,192.58
285,2023-08-03 04:00:00,191.17
286,2023-08-04 04:00:00,181.99
287,2023-08-07 04:00:00,178.85
288,2023-08-08 04:00:00,179.8
289,2023-08-09 04:00:00,178.19
290,2023-08-10 04:00:00,177.97
291,2023-08-11 04:00:00,177.79
292,2023-08-14 04:00:00,179.46
293,2023-08-15 04:00:00,177.45
294,2023-08-16 04:00:00,176.57
295,2023-08-17 04:00:00,174.0
296,2023-08-18 04:00:00,174.49
297,2023-08-21 04:00:00,175.84
298,2023-08-22 04:00:00,177.23
299,2023-08-23 04:00:00,181.12
300,2023-08-24 04:00:00,176.38
301,2023-08-25 04:00:00,178.61
302,2023-08-28 04:00:00,180.19
303,2023-08-29 04:00:00,184.12
304,2023-08-30 04:00:00,187.65
305,2023-08-31 04:00:00,187.87
306,2023-09-01 04:00:00,189.46
307,2023-09-05 04:00:00,189.7
308,2023-09-06 04:00:00,182.91
309,2023-09-07 04:00:00,177.56
310,2023-09-08 04:00:00,178.18
311,2023-09-11 04:00:00,179.36
312,2023-09-12 04:00:00,176.3
313,2023-09-13 04:00:00,174.21
314,2023-09-14 04:00:00,175.74
315,2023-09-15 04:00:00,175.01
316,2023-09-18 04:00:00,177.97
317,2023-09-19 04:00:00,179.07
318,2023-09-20 04:00:00,175.49
319,2023-09-21 04:00:00,173.93
320,2023-09-22 04:00:00,174.79
321,2023-09-25 04:00:00,176.08
322,2023-09-26 04:00:00,171.96
323,2023-09-27 04:00:00,170.43
324,2023-09-28 04:00:00,170.69
325,2023-09-29 04:00:00,171.21
326,2023-10-02 04:00:00,173.75
327,2023-10-03 04:00:00,172.4
328,2023-10-04 04:00:00,173.66
329,2023-10-05 04:00:00,174.91
330,2023-10-06 04:00:00,177.49
331,2023-10-09 04:00:00,178.99
332,2023-10-10 04:00:00,178.39
333,2023-10-11 04:00:00,179.8
334,2023-10-12 04:00:00,180.71
335,2023-10-13 04:00:00,178.85
336,2023-10-16 04:00:00,178.72
337,2023-10-17 04:00:00,177.15
338,2023-10-18 04:00:00,175.84
339,2023-10-19 04:00:00,175.46
340,2023-10-20 04:00:00,172.88
341,2023-10-23 04:00:00,173.0
342,2023-10-24 04:00:00,173.44
343,2023-10-25 04:00:00,171.1
344,2023-10-26 04:00:00,166.89
345,2023-10-27 04:00:00,168.22
346,2023-10-30 04:00:00,170.29
347,2023-10-31 04:00:00,170.77
348,2023-11-01 04:00:00,173.97
349,2023-11-02 04:00:00,177.57
350,2023-11-03 04:00:00,176.65
351,2023-11-06 05:00:00,179.23
352,2023-11-07 05:00:00,181.82
353,2023-11-08 05:00:00,182.89
354,2023-11-09 05:00:00,182.41
355,2023-11-10 05:00:00,186.4
356,2023-11-13 05:00:00,184.8
357,2023-11-14 05:00:00,187.44
358,2023-11-15 05:00:00,188.01
359,2023-11-16 05:00:00,189.71
360,2023-11-17 05:00:00,189.69
361,2023-11-20 05:00:00,191.45
362,2023-11-21 05:00:00,190.64
363,2023-11-22 05:00:00,191.31
364,2023-11-24 05:00:00,189.97
365,2023-11-27 05:00:00,189.79
366,2023-11-28 05:00:00,190.4
367,2023-11-29 05:00:00,189.37
368,2023-11-30 05:00:00,189.95
369,2023-12-01 05:00:00,191.24
370,2023-12-04 05:00:00,189.43
371,2023-12-05 05:00:00,193.42
372,2023-12-06 05:00:00,192.32
373,2023-12-07 05:00:00,194.27
374,2023-12-08 05:00:00,195.71
375,2023-12-11 05:00:00,193.18
376,2023-12-12 05:00:00,194.71
377,2023-12-13 05:00:00,197.96
378,2023-12-14 05:00:00,198.11
379,2023-12-15 05:00:00,197.57
380,2023-12-18 05:00:00,195.89
381,2023-12-19 05:00:00,196.94
382,2023-12-20 05:00:00,194.83
383,2023-12-21 05:00:00,194.68
384,2023-12-22 05:00:00,193.6
385,2023-12-26 05:00:00,193.05
386,2023-12-27 05:00:00,193.15
387,2023-12-28 05:00:00,193.58
388,2023-12-29 05:00:00,192.53
